~~~~~~~~~~~~~~~
Text File : itemname_tch.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	無
ITEMNAME_001	大師球
ITEMNAME_002	高級球
ITEMNAME_003	超級球
ITEMNAME_004	精靈球
ITEMNAME_005	狩獵球
ITEMNAME_006	捕網球
ITEMNAME_007	潛水球
ITEMNAME_008	巢穴球
ITEMNAME_009	重複球
ITEMNAME_010	計時球
ITEMNAME_011	豪華球
ITEMNAME_012	紀念球
ITEMNAME_013	黑暗球
ITEMNAME_014	治癒球
ITEMNAME_015	先機球
ITEMNAME_016	貴重球
ITEMNAME_492	速度球
ITEMNAME_493	等級球
ITEMNAME_494	誘餌球
ITEMNAME_495	沉重球
ITEMNAME_496	甜蜜球
ITEMNAME_497	友友球
ITEMNAME_498	月亮球
ITEMNAME_499	競賽球
ITEMNAME_500	公園球
ITEMNAME_576	夢境球
ITEMNAME_851	究極球

~~~~~~~~~~~~~~~
Text File : monsname_tch.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	蛋
MONSNAME_001	妙蛙種子
MONSNAME_002	妙蛙草
MONSNAME_003	妙蛙花
MONSNAME_004	小火龍
MONSNAME_005	火恐龍
MONSNAME_006	噴火龍
MONSNAME_007	傑尼龜
MONSNAME_008	卡咪龜
MONSNAME_009	水箭龜
MONSNAME_010	綠毛蟲
MONSNAME_011	鐵甲蛹
MONSNAME_012	巴大蝶
MONSNAME_013	獨角蟲
MONSNAME_014	鐵殼蛹
MONSNAME_015	大針蜂
MONSNAME_016	波波
MONSNAME_017	比比鳥
MONSNAME_018	大比鳥
MONSNAME_019	小拉達
MONSNAME_020	拉達
MONSNAME_021	烈雀
MONSNAME_022	大嘴雀
MONSNAME_023	阿柏蛇
MONSNAME_024	阿柏怪
MONSNAME_025	皮卡丘
MONSNAME_026	雷丘
MONSNAME_027	穿山鼠
MONSNAME_028	穿山王
MONSNAME_029	尼多蘭
MONSNAME_030	尼多娜
MONSNAME_031	尼多后
MONSNAME_032	尼多朗
MONSNAME_033	尼多力諾
MONSNAME_034	尼多王
MONSNAME_035	皮皮
MONSNAME_036	皮可西
MONSNAME_037	六尾
MONSNAME_038	九尾
MONSNAME_039	胖丁
MONSNAME_040	胖可丁
MONSNAME_041	超音蝠
MONSNAME_042	大嘴蝠
MONSNAME_043	走路草
MONSNAME_044	臭臭花
MONSNAME_045	霸王花
MONSNAME_046	派拉斯
MONSNAME_047	派拉斯特
MONSNAME_048	毛球
MONSNAME_049	摩魯蛾
MONSNAME_050	地鼠
MONSNAME_051	三地鼠
MONSNAME_052	喵喵
MONSNAME_053	貓老大
MONSNAME_054	可達鴨
MONSNAME_055	哥達鴨
MONSNAME_056	猴怪
MONSNAME_057	火爆猴
MONSNAME_058	卡蒂狗
MONSNAME_059	風速狗
MONSNAME_060	蚊香蝌蚪
MONSNAME_061	蚊香君
MONSNAME_062	蚊香泳士
MONSNAME_063	凱西
MONSNAME_064	勇基拉
MONSNAME_065	胡地
MONSNAME_066	腕力
MONSNAME_067	豪力
MONSNAME_068	怪力
MONSNAME_069	喇叭芽
MONSNAME_070	口呆花
MONSNAME_071	大食花
MONSNAME_072	瑪瑙水母
MONSNAME_073	毒刺水母
MONSNAME_074	小拳石
MONSNAME_075	隆隆石
MONSNAME_076	隆隆岩
MONSNAME_077	小火馬
MONSNAME_078	烈焰馬
MONSNAME_079	呆呆獸
MONSNAME_080	呆殼獸
MONSNAME_081	小磁怪
MONSNAME_082	三合一磁怪
MONSNAME_083	大蔥鴨
MONSNAME_084	嘟嘟
MONSNAME_085	嘟嘟利
MONSNAME_086	小海獅
MONSNAME_087	白海獅
MONSNAME_088	臭泥
MONSNAME_089	臭臭泥
MONSNAME_090	大舌貝
MONSNAME_091	刺甲貝
MONSNAME_092	鬼斯
MONSNAME_093	鬼斯通
MONSNAME_094	耿鬼
MONSNAME_095	大岩蛇
MONSNAME_096	催眠貘
MONSNAME_097	引夢貘人
MONSNAME_098	大鉗蟹
MONSNAME_099	巨鉗蟹
MONSNAME_100	霹靂電球
MONSNAME_101	頑皮雷彈
MONSNAME_102	蛋蛋
MONSNAME_103	椰蛋樹
MONSNAME_104	卡拉卡拉
MONSNAME_105	嘎啦嘎啦
MONSNAME_106	飛腿郎
MONSNAME_107	快拳郎
MONSNAME_108	大舌頭
MONSNAME_109	瓦斯彈
MONSNAME_110	雙彈瓦斯
MONSNAME_111	獨角犀牛
MONSNAME_112	鑽角犀獸
