~~~~~~~~~~~~~~~
Text File : itemname_fra.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	Aucun objet
ITEMNAME_001	Master Ball
ITEMNAME_002	Hyper Ball
ITEMNAME_003	Super Ball
ITEMNAME_004	Poké Ball
ITEMNAME_005	Safari Ball
ITEMNAME_006	Filet Ball
ITEMNAME_007	Scuba Ball
ITEMNAME_008	Faiblo Ball
ITEMNAME_009	Bis Ball
ITEMNAME_010	Chrono Ball
ITEMNAME_011	Luxe Ball
ITEMNAME_012	Honor Ball
ITEMNAME_013	Sombre Ball
ITEMNAME_014	Soin Ball
ITEMNAME_015	Rapide Ball
ITEMNAME_016	Mémoire Ball
ITEMNAME_492	Speed Ball
ITEMNAME_493	Niveau Ball
ITEMNAME_494	Appât Ball
ITEMNAME_495	Masse Ball
ITEMNAME_496	Love Ball
ITEMNAME_497	Copain Ball
ITEMNAME_498	Lune Ball
ITEMNAME_499	Compét'Ball
ITEMNAME_500	Parc Ball
ITEMNAME_576	Rêve Ball
ITEMNAME_851	Ultra Ball

~~~~~~~~~~~~~~~
Text File : monsname_fra.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Œuf
MONSNAME_001	Bulbizarre
MONSNAME_002	Herbizarre
MONSNAME_003	Florizarre
MONSNAME_004	Salamèche
MONSNAME_005	Reptincel
MONSNAME_006	Dracaufeu
MONSNAME_007	Carapuce
MONSNAME_008	Carabaffe
MONSNAME_009	Tortank
MONSNAME_010	Chenipan
MONSNAME_011	Chrysacier
MONSNAME_012	Papilusion
MONSNAME_013	Aspicot
MONSNAME_014	Coconfort
MONSNAME_015	Dardargnan
MONSNAME_016	Roucool
MONSNAME_017	Roucoups
MONSNAME_018	Roucarnage
MONSNAME_019	Rattata
MONSNAME_020	Rattatac
MONSNAME_021	Piafabec
MONSNAME_022	Rapasdepic
MONSNAME_023	Abo
MONSNAME_024	Arbok
MONSNAME_025	Pikachu
MONSNAME_026	Raichu
MONSNAME_027	Sabelette
MONSNAME_028	Sablaireau
MONSNAME_029	Nidoran♀
MONSNAME_030	Nidorina
MONSNAME_031	Nidoqueen
MONSNAME_032	Nidoran♂
MONSNAME_033	Nidorino
MONSNAME_034	Nidoking
MONSNAME_035	Mélofée
MONSNAME_036	Mélodelfe
MONSNAME_037	Goupix
MONSNAME_038	Feunard
MONSNAME_039	Rondoudou
MONSNAME_040	Grodoudou
MONSNAME_041	Nosferapti
MONSNAME_042	Nosferalto
MONSNAME_043	Mystherbe
MONSNAME_044	Ortide
MONSNAME_045	Rafflesia
MONSNAME_046	Paras
MONSNAME_047	Parasect
MONSNAME_048	Mimitoss
MONSNAME_049	Aéromite
MONSNAME_050	Taupiqueur
MONSNAME_051	Triopikeur
MONSNAME_052	Miaouss
MONSNAME_053	Persian
MONSNAME_054	Psykokwak
MONSNAME_055	Akwakwak
MONSNAME_056	Férosinge
MONSNAME_057	Colossinge
MONSNAME_058	Caninos
MONSNAME_059	Arcanin
MONSNAME_060	Ptitard
MONSNAME_061	Têtarte
MONSNAME_062	Tartard
MONSNAME_063	Abra
MONSNAME_064	Kadabra
MONSNAME_065	Alakazam
MONSNAME_066	Machoc
MONSNAME_067	Machopeur
MONSNAME_068	Mackogneur
MONSNAME_069	Chétiflor
MONSNAME_070	Boustiflor
MONSNAME_071	Empiflor
MONSNAME_072	Tentacool
MONSNAME_073	Tentacruel
MONSNAME_074	Racaillou
MONSNAME_075	Gravalanch
MONSNAME_076	Grolem
MONSNAME_077	Ponyta
MONSNAME_078	Galopa
MONSNAME_079	Ramoloss
MONSNAME_080	Flagadoss
MONSNAME_081	Magnéti
MONSNAME_082	Magnéton
MONSNAME_083	Canarticho
MONSNAME_084	Doduo
MONSNAME_085	Dodrio
MONSNAME_086	Otaria
MONSNAME_087	Lamantine
MONSNAME_088	Tadmorv
MONSNAME_089	Grotadmorv
MONSNAME_090	Kokiyas
MONSNAME_091	Crustabri
