~~~~~~~~~~~~~~~
Text File : monsname_deu.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Ei
MONSNAME_001	Bisasam
MONSNAME_002	Bisaknosp
MONSNAME_003	Bisaflor
MONSNAME_004	Glumanda
MONSNAME_005	Glutexo
MONSNAME_006	Glurak
MONSNAME_007	Schiggy
MONSNAME_008	Schillok
MONSNAME_009	Turtok
MONSNAME_010	Raupy
MONSNAME_011	Safcon
MONSNAME_012	Smettbo
MONSNAME_013	Hornliu
MONSNAME_014	Kokuna
MONSNAME_015	Bibor
MONSNAME_016	Taubsi
MONSNAME_017	Tauboga
MONSNAME_018	Tauboss
MONSNAME_019	Rattfratz
MONSNAME_020	Rattikarl
MONSNAME_021	Habitak
MONSNAME_022	Ibitak
MONSNAME_023	Rettan
MONSNAME_024	Arbok
MONSNAME_025	Pikachu
MONSNAME_026	Raichu
MONSNAME_027	Sandan
MONSNAME_028	Sandamer
MONSNAME_029	Nidoran♀
MONSNAME_030	Nidorina
MONSNAME_031	Nidoqueen
MONSNAME_032	Nidoran♂
MONSNAME_033	Nidorino
MONSNAME_034	Nidoking
MONSNAME_035	Piepi
MONSNAME_036	Pixi
MONSNAME_037	Vulpix
MONSNAME_038	Vulnona
MONSNAME_039	Pummeluff
MONSNAME_040	Knuddeluff
MONSNAME_041	Zubat
MONSNAME_042	Golbat
MONSNAME_043	Myrapla
MONSNAME_044	Duflor
MONSNAME_045	Giflor
MONSNAME_046	Paras
MONSNAME_047	Parasek
MONSNAME_048	Bluzuk
MONSNAME_049	Omot
MONSNAME_050	Digda
MONSNAME_051	Digdri
MONSNAME_052	Mauzi
MONSNAME_053	Snobilikat
MONSNAME_054	Enton
MONSNAME_055	Entoron
MONSNAME_056	Menki
MONSNAME_057	Rasaff
MONSNAME_058	Fukano
MONSNAME_059	Arkani
MONSNAME_060	Quapsel
MONSNAME_061	Quaputzi
MONSNAME_062	Quappo
MONSNAME_063	Abra
MONSNAME_064	Kadabra
MONSNAME_065	Simsala
MONSNAME_066	Machollo
MONSNAME_067	Maschock
MONSNAME_068	Machomei
MONSNAME_069	Knofensa
MONSNAME_070	Ultrigaria
MONSNAME_071	Sarzenia
MONSNAME_072	Tentacha
MONSNAME_073	Tentoxa
MONSNAME_074	Kleinstein
MONSNAME_075	Georok
MONSNAME_076	Geowaz
MONSNAME_077	Ponita
MONSNAME_078	Gallopa
MONSNAME_079	Flegmon
MONSNAME_080	Lahmus
MONSNAME_081	Magnetilo
MONSNAME_082	Magneton
MONSNAME_083	Porenta
MONSNAME_084	Dodu
MONSNAME_085	Dodri
MONSNAME_086	Jurob
MONSNAME_087	Jugong
MONSNAME_088	Sleima
MONSNAME_089	Sleimok
MONSNAME_090	Muschas
MONSNAME_091	Austos
MONSNAME_092	Nebulak
MONSNAME_093	Alpollo
MONSNAME_094	Gengar
MONSNAME_095	Onix
MONSNAME_096	Traumato
MONSNAME_097	Hypno
MONSNAME_098	Krabby
MONSNAME_099	Kingler
MONSNAME_100	Voltobal
MONSNAME_101	Lektrobal
MONSNAME_102	Owei
MONSNAME_103	Kokowei
MONSNAME_104	Tragosso
MONSNAME_105	Knogga
MONSNAME_106	Kicklee
MONSNAME_107	Nockchan
MONSNAME_108	Schlurp
MONSNAME_109	Smogon
MONSNAME_110	Smogmog
MONSNAME_111	Rihorn
MONSNAME_112	Rizeros
MONSNAME_113	Chaneira
MONSNAME_114	Tangela
MONSNAME_115	Kangama
MONSNAME_116	Seeper
MONSNAME_117	Seemon
MONSNAME_118	Goldini
MONSNAME_119	Golking
MONSNAME_120	Sterndu
MONSNAME_121	Starmie
MONSNAME_122	Pantimos
MONSNAME_123	Sichlor
MONSNAME_124	Rossana
MONSNAME_125	Elektek
MONSNAME_126	Magmar
MONSNAME_127	Pinsir
MONSNAME_128	Tauros
MONSNAME_129	Karpador
MONSNAME_130	Garados
MONSNAME_131	Lapras
MONSNAME_132	Ditto
MONSNAME_133	Evoli
MONSNAME_134	Aquana
MONSNAME_135	Blitza
MONSNAME_136	Flamara
MONSNAME_137	Porygon
MONSNAME_138	Amonitas
MONSNAME_139	Amoroso
MONSNAME_140	Kabuto
MONSNAME_141	Kabutops
MONSNAME_142	Aerodactyl
MONSNAME_143	Relaxo
MONSNAME_144	Arktos
MONSNAME_145	Zapdos
MONSNAME_146	Lavados
MONSNAME_147	Dratini
MONSNAME_148	Dragonir
MONSNAME_149	Dragoran
MONSNAME_150	Mewtu
MONSNAME_151	Mew
MONSNAME_152	Endivie
MONSNAME_153	Lorblatt
MONSNAME_154	Meganie
MONSNAME_155	Feurigel
MONSNAME_156	Igelavar
MONSNAME_157	Tornupto
MONSNAME_158	Karnimani
MONSNAME_159	Tyracroc
MONSNAME_160	Impergator
MONSNAME_161	Wiesor
MONSNAME_162	Wiesenior
MONSNAME_163	Hoothoot
MONSNAME_164	Noctuh
MONSNAME_165	Ledyba
MONSNAME_166	Ledian
MONSNAME_167	Webarak
MONSNAME_168	Ariados
MONSNAME_169	Iksbat
MONSNAME_170	Lampi
MONSNAME_171	Lanturn
MONSNAME_172	Pichu
MONSNAME_173	Pii
MONSNAME_174	Fluffeluff
MONSNAME_175	Togepi
MONSNAME_176	Togetic
MONSNAME_177	Natu
MONSNAME_178	Xatu
MONSNAME_179	Voltilamm
MONSNAME_180	Waaty
MONSNAME_181	Ampharos
MONSNAME_182	Blubella
MONSNAME_183	Marill
MONSNAME_184	Azumarill
MONSNAME_185	Mogelbaum
MONSNAME_186	Quaxo
MONSNAME_187	Hoppspross
MONSNAME_188	Hubelupf
MONSNAME_189	Papungha
MONSNAME_190	Griffel
MONSNAME_191	Sonnkern
MONSNAME_192	Sonnflora
MONSNAME_193	Yanma
MONSNAME_194	Felino
MONSNAME_195	Morlord
MONSNAME_196	Psiana
MONSNAME_197	Nachtara
MONSNAME_198	Kramurx
MONSNAME_199	Laschoking
MONSNAME_200	Traunfugil
MONSNAME_201	Icognito
MONSNAME_202	Woingenau
MONSNAME_203	Girafarig
MONSNAME_204	Tannza
MONSNAME_205	Forstellka
MONSNAME_206	Dummisel
MONSNAME_207	Skorgla
MONSNAME_208	Stahlos
MONSNAME_209	Snubbull
MONSNAME_210	Granbull
MONSNAME_211	Baldorfish
MONSNAME_212	Scherox
MONSNAME_213	Pottrott
MONSNAME_214	Skaraborn
MONSNAME_215	Sniebel
MONSNAME_216	Teddiursa
MONSNAME_217	Ursaring
MONSNAME_218	Schneckmag
MONSNAME_219	Magcargo
MONSNAME_220	Quiekel
MONSNAME_221	Keifel
MONSNAME_222	Corasonn
MONSNAME_223	Remoraid
MONSNAME_224	Octillery
MONSNAME_225	Botogel
MONSNAME_226	Mantax
MONSNAME_227	Panzaeron
MONSNAME_228	Hunduster
MONSNAME_229	Hundemon
MONSNAME_230	Seedraking
MONSNAME_231	Phanpy
MONSNAME_232	Donphan
MONSNAME_233	Porygon2
MONSNAME_234	Damhirplex
MONSNAME_235	Farbeagle
MONSNAME_236	Rabauz
MONSNAME_237	Kapoera
MONSNAME_238	Kussilla
MONSNAME_239	Elekid
MONSNAME_240	Magby
MONSNAME_241	Miltank
MONSNAME_242	Heiteira
MONSNAME_243	Raikou
MONSNAME_244	Entei
MONSNAME_245	Suicune
MONSNAME_246	Larvitar
MONSNAME_247	Pupitar
MONSNAME_248	Despotar
MONSNAME_249	Lugia
MONSNAME_250	Ho-Oh
MONSNAME_251	Celebi
MONSNAME_252	Geckarbor
MONSNAME_253	Reptain
MONSNAME_254	Gewaldro
MONSNAME_255	Flemmli
MONSNAME_256	Jungglut
