~~~~~~~~~~~~~~~
Text File : monsname_ita.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Uovo
MONSNAME_001	Bulbasaur
MONSNAME_002	Ivysaur
MONSNAME_003	Venusaur
MONSNAME_004	Charmander
MONSNAME_005	Charmeleon
MONSNAME_006	Charizard
MONSNAME_007	Squirtle
MONSNAME_008	Wartortle
MONSNAME_009	Blastoise
MONSNAME_010	Caterpie
MONSNAME_011	Metapod
MONSNAME_012	Butterfree
MONSNAME_013	Weedle
MONSNAME_014	Kakuna
MONSNAME_015	Beedrill
MONSNAME_016	Pidgey
MONSNAME_017	Pidgeotto
MONSNAME_018	Pidgeot
MONSNAME_019	Rattata
MONSNAME_020	Raticate
MONSNAME_021	Spearow
MONSNAME_022	Fearow
MONSNAME_023	Ekans
MONSNAME_024	Arbok
MONSNAME_025	Pikachu
MONSNAME_026	Raichu
MONSNAME_027	Sandshrew
MONSNAME_028	Sandslash
MONSNAME_029	Nidoran♀
MONSNAME_030	Nidorina
MONSNAME_031	Nidoqueen
MONSNAME_032	Nidoran♂
MONSNAME_033	Nidorino
MONSNAME_034	Nidoking
MONSNAME_035	Clefairy
MONSNAME_036	Clefable
MONSNAME_037	Vulpix
MONSNAME_038	Ninetales
MONSNAME_039	Jigglypuff
MONSNAME_040	Wigglytuff
MONSNAME_041	Zubat
MONSNAME_042	Golbat
MONSNAME_043	Oddish
MONSNAME_044	Gloom
MONSNAME_045	Vileplume
MONSNAME_046	Paras
MONSNAME_047	Parasect
MONSNAME_048	Venonat
MONSNAME_049	Venomoth
MONSNAME_050	Diglett
MONSNAME_051	Dugtrio
MONSNAME_052	Meowth
MONSNAME_053	Persian
MONSNAME_054	Psyduck
MONSNAME_055	Golduck
MONSNAME_056	Mankey
MONSNAME_057	Primeape
MONSNAME_058	Growlithe
MONSNAME_059	Arcanine
MONSNAME_060	Poliwag
MONSNAME_061	Poliwhirl
MONSNAME_062	Poliwrath
MONSNAME_063	Abra
