~~~~~~~~~~~~~~~
Text File : itemname_jpn_kanji.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	なし
ITEMNAME_001	マスターボール
ITEMNAME_002	ハイパーボール
ITEMNAME_003	スーパーボール
ITEMNAME_004	モンスターボール
ITEMNAME_005	サファリボール
ITEMNAME_006	ネットボール
ITEMNAME_007	ダイブボール
ITEMNAME_008	ネストボール
ITEMNAME_009	リピートボール
ITEMNAME_010	タイマーボール
ITEMNAME_011	ゴージャスボール
ITEMNAME_012	プレミアボール
ITEMNAME_013	ダークボール
ITEMNAME_014	ヒールボール
ITEMNAME_015	クイックボール
ITEMNAME_016	プレシャスボール
ITEMNAME_492	スピードボール
ITEMNAME_493	レベルボール
ITEMNAME_494	ルアーボール
ITEMNAME_495	ヘビーボール
ITEMNAME_496	ラブラブボール
ITEMNAME_497	フレンドボール
ITEMNAME_498	ムーンボール
ITEMNAME_499	コンペボール
ITEMNAME_500	パークボール
ITEMNAME_576	ドリームボール
ITEMNAME_851	ウルトラボール

~~~~~~~~~~~~~~~
Text File : monsname_jpn_kanji.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	タマゴ
MONSNAME_001	フシギダネ
MONSNAME_002	フシギソウ
MONSNAME_003	フシギバナ
MONSNAME_004	ヒトカゲ
MONSNAME_005	リザード
MONSNAME_006	リザードン
MONSNAME_007	ゼニガメ
MONSNAME_008	カメール
MONSNAME_009	カメックス
MONSNAME_010	キャタピー
MONSNAME_011	トランセル
MONSNAME_012	バタフリー
MONSNAME_013	ビードル
MONSNAME_014	コクーン
MONSNAME_015	スピアー
MONSNAME_016	ポッポ
MONSNAME_017	ピジョン
MONSNAME_018	ピジョット
MONSNAME_019	コラッタ
MONSNAME_020	ラッタ
MONSNAME_021	オニスズメ
MONSNAME_022	オニドリル
MONSNAME_023	アーボ
MONSNAME_024	アーボック
MONSNAME_025	ピカチュウ
MONSNAME_026	ライチュウ
MONSNAME_027	サンド
MONSNAME_028	サンドパン
MONSNAME_029	ニドラン♀
MONSNAME_030	ニドリーナ
MONSNAME_031	ニドクイン
MONSNAME_032	ニドラン♂
MONSNAME_033	ニドリーノ
MONSNAME_034	ニドキング
MONSNAME_035	ピッピ
MONSNAME_036	ピクシー
MONSNAME_037	ロコン
MONSNAME_038	キュウコン
MONSNAME_039	プリン
MONSNAME_040	プクリン
MONSNAME_041	ズバット
MONSNAME_042	ゴルバット
MONSNAME_043	ナゾノクサ
MONSNAME_044	クサイハナ
MONSNAME_045	ラフレシア
MONSNAME_046	パラス
MONSNAME_047	パラセクト
MONSNAME_048	コンパン
MONSNAME_049	モルフォン
MONSNAME_050	ディグダ
MONSNAME_051	ダグトリオ
MONSNAME_052	ニャース
MONSNAME_053	ペルシアン
MONSNAME_054	コダック
MONSNAME_055	ゴルダック
MONSNAME_056	マンキー
MONSNAME_057	オコリザル
MONSNAME_058	ガーディ
MONSNAME_059	ウインディ
MONSNAME_060	ニョロモ
MONSNAME_061	ニョロゾ
MONSNAME_062	ニョロボン
MONSNAME_063	ケーシィ
MONSNAME_064	ユンゲラー
MONSNAME_065	フーディン
MONSNAME_066	ワンリキー
MONSNAME_067	ゴーリキー
MONSNAME_068	カイリキー
MONSNAME_069	マダツボミ
MONSNAME_070	ウツドン
MONSNAME_071	ウツボット
MONSNAME_072	メノクラゲ
MONSNAME_073	ドククラゲ
MONSNAME_074	イシツブテ
MONSNAME_075	ゴローン
MONSNAME_076	ゴローニャ
MONSNAME_077	ポニータ
MONSNAME_078	ギャロップ
MONSNAME_079	ヤドン
MONSNAME_080	ヤドラン
MONSNAME_081	コイル
MONSNAME_082	レアコイル
MONSNAME_083	カモネギ
MONSNAME_084	ドードー
MONSNAME_085	ドードリオ
MONSNAME_086	パウワウ
MONSNAME_087	ジュゴン
MONSNAME_088	ベトベター
MONSNAME_089	ベトベトン
MONSNAME_090	シェルダー
MONSNAME_091	パルシェン
MONSNAME_092	ゴース
MONSNAME_093	ゴースト
MONSNAME_094	ゲンガー
MONSNAME_095	イワーク
MONSNAME_096	スリープ
