~~~~~~~~~~~~~~~
Text File : itemname_esp.msbt
~~~~~~~~~~~~~~~
ITEMNAME_000	Ningún objeto
ITEMNAME_001	Master Ball
ITEMNAME_002	Ultra Ball
ITEMNAME_003	Super Ball
ITEMNAME_004	Poké Ball
ITEMNAME_005	Safari Ball
ITEMNAME_006	Malla Ball
ITEMNAME_007	Buceo Ball
ITEMNAME_008	Nido Ball
ITEMNAME_009	Acopio Ball
ITEMNAME_010	Turno Ball
ITEMNAME_011	Lujo Ball
ITEMNAME_012	Honor Ball
ITEMNAME_013	Ocaso Ball
ITEMNAME_014	Sana Ball
ITEMNAME_015	Veloz Ball
ITEMNAME_016	Gloria Ball
ITEMNAME_492	Rapid Ball
ITEMNAME_493	Nivel Ball
ITEMNAME_494	Cebo Ball
ITEMNAME_495	Peso Ball
ITEMNAME_496	Amor Ball
ITEMNAME_497	Amigo Ball
ITEMNAME_498	Luna Ball
ITEMNAME_499	Competi Ball
ITEMNAME_500	Parque Ball
ITEMNAME_576	Ensueño Ball
ITEMNAME_851	Ente Ball

~~~~~~~~~~~~~~~
Text File : monsname_esp.msbt
~~~~~~~~~~~~~~~
MONSNAME_000	Huevo
MONSNAME_001	Bulbasaur
MONSNAME_002	Ivysaur
MONSNAME_003	Venusaur
MONSNAME_004	Charmander
MONSNAME_005	Charmeleon
MONSNAME_006	Charizard
MONSNAME_007	Squirtle
MONSNAME_008	Wartortle
MONSNAME_009	Blastoise
MONSNAME_010	Caterpie
MONSNAME_011	Metapod
MONSNAME_012	Butterfree
MONSNAME_013	Weedle
MONSNAME_014	Kakuna
MONSNAME_015	Beedrill
MONSNAME_016	Pidgey
MONSNAME_017	Pidgeotto
MONSNAME_018	Pidgeot
MONSNAME_019	Rattata
MONSNAME_020	Raticate
MONSNAME_021	Spearow
MONSNAME_022	Fearow
MONSNAME_023	Ekans
MONSNAME_024	Arbok
MONSNAME_025	Pikachu
MONSNAME_026	Raichu
MONSNAME_027	Sandshrew
MONSNAME_028	Sandslash
MONSNAME_029	Nidoran♀
MONSNAME_030	Nidorina
MONSNAME_031	Nidoqueen
MONSNAME_032	Nidoran♂
MONSNAME_033	Nidorino
MONSNAME_034	Nidoking
MONSNAME_035	Clefairy
MONSNAME_036	Clefable
MONSNAME_037	Vulpix
MONSNAME_038	Ninetales
MONSNAME_039	Jigglypuff
MONSNAME_040	Wigglytuff
MONSNAME_041	Zubat
MONSNAME_042	Golbat
MONSNAME_043	Oddish
MONSNAME_044	Gloom
MONSNAME_045	Vileplume
MONSNAME_046	Paras
MONSNAME_047	Parasect
MONSNAME_048	Venonat
MONSNAME_049	Venomoth
MONSNAME_050	Diglett
MONSNAME_051	Dugtrio
MONSNAME_052	Meowth
MONSNAME_053	Persian
MONSNAME_054	Psyduck
MONSNAME_055	Golduck
MONSNAME_056	Mankey
MONSNAME_057	Primeape
MONSNAME_058	Growlithe
MONSNAME_059	Arcanine
MONSNAME_060	Poliwag
MONSNAME_061	Poliwhirl
MONSNAME_062	Poliwrath
MONSNAME_063	Abra
MONSNAME_064	Kadabra
MONSNAME_065	Alakazam
MONSNAME_066	Machop
MONSNAME_067	Machoke
MONSNAME_068	Machamp
MONSNAME_069	Bellsprout
MONSNAME_070	Weepinbell
MONSNAME_071	Victreebel
MONSNAME_072	Tentacool
MONSNAME_073	Tentacruel
MONSNAME_074	Geodude
MONSNAME_075	Graveler
MONSNAME_076	Golem
MONSNAME_077	Ponyta
MONSNAME_078	Rapidash
MONSNAME_079	Slowpoke
MONSNAME_080	Slowbro
MONSNAME_081	Magnemite
MONSNAME_082	Magneton
MONSNAME_083	Farfetch'd
MONSNAME_084	Doduo
MONSNAME_085	Dodrio
MONSNAME_086	Seel
MONSNAME_087	Dewgong
MONSNAME_088	Grimer
MONSNAME_089	Muk
MONSNAME_090	Shellder
MONSNAME_091	Cloyster
MONSNAME_092	Gastly
MONSNAME_093	Haunter
MONSNAME_094	Gengar
MONSNAME_095	Onix
MONSNAME_096	Drowzee
MONSNAME_097	Hypno
MONSNAME_098	Krabby
MONSNAME_099	Kingler
MONSNAME_100	Voltorb
MONSNAME_101	Electrode
MONSNAME_102	Exeggcute
MONSNAME_103	Exeggutor
MONSNAME_104	Cubone
MONSNAME_105	Marowak
MONSNAME_106	Hitmonlee
MONSNAME_107	Hitmonchan
MONSNAME_108	Lickitung
MONSNAME_109	Koffing
MONSNAME_110	Weezing
MONSNAME_111	Rhyhorn
MONSNAME_112	Rhydon
MONSNAME_113	Chansey
MONSNAME_114	Tangela
MONSNAME_115	Kangaskhan
MONSNAME_116	Horsea
MONSNAME_117	Seadra
MONSNAME_118	Goldeen
MONSNAME_119	Seaking
MONSNAME_120	Staryu
MONSNAME_121	Starmie
MONSNAME_122	Mr. Mime
MONSNAME_123	Scyther
MONSNAME_124	Jynx
MONSNAME_125	Electabuzz
MONSNAME_126	Magmar
MONSNAME_127	Pinsir
MONSNAME_128	Tauros
MONSNAME_129	Magikarp
MONSNAME_130	Gyarados
MONSNAME_131	Lapras
MONSNAME_132	Ditto
MONSNAME_133	Eevee
MONSNAME_134	Vaporeon
MONSNAME_135	Jolteon
MONSNAME_136	Flareon
MONSNAME_137	Porygon
MONSNAME_138	Omanyte
MONSNAME_139	Omastar
MONSNAME_140	Kabuto
MONSNAME_141	Kabutops
MONSNAME_142	Aerodactyl
MONSNAME_143	Snorlax
MONSNAME_144	Articuno
MONSNAME_145	Zapdos
MONSNAME_146	Moltres
MONSNAME_147	Dratini
MONSNAME_148	Dragonair
MONSNAME_149	Dragonite
MONSNAME_150	Mewtwo
MONSNAME_151	Mew
MONSNAME_152	Chikorita
MONSNAME_153	Bayleef
MONSNAME_154	Meganium
MONSNAME_155	Cyndaquil
MONSNAME_156	Quilava
MONSNAME_157	Typhlosion
MONSNAME_158	Totodile
MONSNAME_159	Croconaw
MONSNAME_160	Feraligatr
MONSNAME_161	Sentret
MONSNAME_162	Furret
MONSNAME_163	Hoothoot
MONSNAME_164	Noctowl
MONSNAME_165	Ledyba
MONSNAME_166	Ledian
MONSNAME_167	Spinarak
MONSNAME_168	Ariados
MONSNAME_169	Crobat
MONSNAME_170	Chinchou
MONSNAME_171	Lanturn
MONSNAME_172	Pichu
MONSNAME_173	Cleffa
MONSNAME_174	Igglybuff
MONSNAME_175	Togepi
MONSNAME_176	Togetic
MONSNAME_177	Natu
MONSNAME_178	Xatu
MONSNAME_179	Mareep
MONSNAME_180	Flaaffy
MONSNAME_181	Ampharos
MONSNAME_182	Bellossom
MONSNAME_183	Marill
MONSNAME_184	Azumarill
MONSNAME_185	Sudowoodo
MONSNAME_186	Politoed
MONSNAME_187	Hoppip
MONSNAME_188	Skiploom
MONSNAME_189	Jumpluff
MONSNAME_190	Aipom
MONSNAME_191	Sunkern
MONSNAME_192	Sunflora
MONSNAME_193	Yanma
MONSNAME_194	Wooper
MONSNAME_195	Quagsire
MONSNAME_196	Espeon
MONSNAME_197	Umbreon
MONSNAME_198	Murkrow
MONSNAME_199	Slowking
MONSNAME_200	Misdreavus
MONSNAME_201	Unown
MONSNAME_202	Wobbuffet
MONSNAME_203	Girafarig
MONSNAME_204	Pineco
MONSNAME_205	Forretress
MONSNAME_206	Dunsparce
MONSNAME_207	Gligar
MONSNAME_208	Steelix
MONSNAME_209	Snubbull
MONSNAME_210	Granbull
MONSNAME_211	Qwilfish
MONSNAME_212	Scizor
MONSNAME_213	Shuckle
MONSNAME_214	Heracross
MONSNAME_215	Sneasel
MONSNAME_216	Teddiursa
MONSNAME_217	Ursaring
MONSNAME_218	Slugma
MONSNAME_219	Magcargo
MONSNAME_220	Swinub
MONSNAME_221	Piloswine
MONSNAME_222	Corsola
MONSNAME_223	Remoraid
MONSNAME_224	Octillery
MONSNAME_225	Delibird
MONSNAME_226	Mantine
MONSNAME_227	Skarmory
MONSNAME_228	Houndour
MONSNAME_229	Houndoom
MONSNAME_230	Kingdra
MONSNAME_231	Phanpy
MONSNAME_232	Donphan
MONSNAME_233	Porygon2
MONSNAME_234	Stantler
MONSNAME_235	Smeargle
MONSNAME_236	Tyrogue
MONSNAME_237	Hitmontop
MONSNAME_238	Smoochum
MONSNAME_239	Elekid
MONSNAME_240	Magby
MONSNAME_241	Miltank
MONSNAME_242	Blissey
MONSNAME_243	Raikou
MONSNAME_244	Entei
MONSNAME_245	Suicune
MONSNAME_246	Larvitar
MONSNAME_247	Pupitar
MONSNAME_248	Tyranitar
MONSNAME_249	Lugia
MONSNAME_250	Ho-Oh
MONSNAME_251	Celebi
MONSNAME_252	Treecko
MONSNAME_253	Grovyle
MONSNAME_254	Sceptile
MONSNAME_255	Torchic
MONSNAME_256	Combusken
MONSNAME_257	Blaziken
MONSNAME_258	Mudkip
MONSNAME_259	Marshtomp
MONSNAME_260	Swampert
MONSNAME_261	Poochyena
MONSNAME_262	Mightyena
MONSNAME_263	Zigzagoon
MONSNAME_264	Linoone
MONSNAME_265	Wurmple
MONSNAME_266	Silcoon
MONSNAME_267	Beautifly
MONSNAME_268	Cascoon
MONSNAME_269	Dustox
MONSNAME_270	Lotad
MONSNAME_271	Lombre
MONSNAME_272	Ludicolo
MONSNAME_273	Seedot
MONSNAME_274	Nuzleaf
MONSNAME_275	Shiftry
MONSNAME_276	Taillow
MONSNAME_277	Swellow
MONSNAME_278	Wingull
MONSNAME_279	Pelipper
MONSNAME_280	Ralts
MONSNAME_281	Kirlia
MONSNAME_282	Gardevoir
MONSNAME_283	Surskit
MONSNAME_284	Masquerain
MONSNAME_285	Shroomish
MONSNAME_286	Breloom
MONSNAME_287	Slakoth
MONSNAME_288	Vigoroth
MONSNAME_289	Slaking
MONSNAME_290	Nincada
MONSNAME_291	Ninjask
MONSNAME_292	Shedinja
MONSNAME_293	Whismur
MONSNAME_294	Loudred
MONSNAME_295	Exploud
MONSNAME_296	Makuhita
MONSNAME_297	Hariyama
MONSNAME_298	Azurill
MONSNAME_299	Nosepass
MONSNAME_300	Skitty
MONSNAME_301	Delcatty
MONSNAME_302	Sableye
MONSNAME_303	Mawile
MONSNAME_304	Aron
MONSNAME_305	Lairon
MONSNAME_306	Aggron
MONSNAME_307	Meditite
MONSNAME_308	Medicham
MONSNAME_309	Electrike
MONSNAME_310	Manectric
MONSNAME_311	Plusle
MONSNAME_312	Minun
MONSNAME_313	Volbeat
MONSNAME_314	Illumise
MONSNAME_315	Roselia
MONSNAME_316	Gulpin
MONSNAME_317	Swalot
MONSNAME_318	Carvanha
MONSNAME_319	Sharpedo
MONSNAME_320	Wailmer
MONSNAME_321	Wailord
MONSNAME_322	Numel
MONSNAME_323	Camerupt
MONSNAME_324	Torkoal
MONSNAME_325	Spoink
MONSNAME_326	Grumpig
MONSNAME_327	Spinda
MONSNAME_328	Trapinch
MONSNAME_329	Vibrava
MONSNAME_330	Flygon
MONSNAME_331	Cacnea
MONSNAME_332	Cacturne
MONSNAME_333	Swablu
MONSNAME_334	Altaria
MONSNAME_335	Zangoose
MONSNAME_336	Seviper
MONSNAME_337	Lunatone
MONSNAME_338	Solrock
MONSNAME_339	Barboach
MONSNAME_340	Whiscash
MONSNAME_341	Corphish
MONSNAME_342	Crawdaunt
MONSNAME_343	Baltoy
MONSNAME_344	Claydol
MONSNAME_345	Lileep
MONSNAME_346	Cradily
MONSNAME_347	Anorith
MONSNAME_348	Armaldo
MONSNAME_349	Feebas
MONSNAME_350	Milotic
MONSNAME_351	Castform
MONSNAME_352	Kecleon
MONSNAME_353	Shuppet
MONSNAME_354	Banette
MONSNAME_355	Duskull
MONSNAME_356	Dusclops
MONSNAME_357	Tropius
MONSNAME_358	Chimecho
MONSNAME_359	Absol
MONSNAME_360	Wynaut
MONSNAME_361	Snorunt
MONSNAME_362	Glalie
MONSNAME_363	Spheal
MONSNAME_364	Sealeo
MONSNAME_365	Walrein
MONSNAME_366	Clamperl
MONSNAME_367	Huntail
MONSNAME_368	Gorebyss
MONSNAME_369	Relicanth
MONSNAME_370	Luvdisc
MONSNAME_371	Bagon
MONSNAME_372	Shelgon
MONSNAME_373	Salamence
MONSNAME_374	Beldum
MONSNAME_375	Metang
MONSNAME_376	Metagross
MONSNAME_377	Regirock
MONSNAME_378	Regice
MONSNAME_379	Registeel
MONSNAME_380	Latias
MONSNAME_381	Latios
MONSNAME_382	Kyogre
MONSNAME_383	Groudon
MONSNAME_384	Rayquaza
MONSNAME_385	Jirachi
MONSNAME_386	Deoxys
MONSNAME_387	Turtwig
MONSNAME_388	Grotle
MONSNAME_389	Torterra
MONSNAME_390	Chimchar
MONSNAME_391	Monferno
MONSNAME_392	Infernape
MONSNAME_393	Piplup
MONSNAME_394	Prinplup
MONSNAME_395	Empoleon
MONSNAME_396	Starly
MONSNAME_397	Staravia
MONSNAME_398	Staraptor
MONSNAME_399	Bidoof
MONSNAME_400	Bibarel
MONSNAME_401	Kricketot
MONSNAME_402	Kricketune
MONSNAME_403	Shinx
MONSNAME_404	Luxio
MONSNAME_405	Luxray
MONSNAME_406	Budew
MONSNAME_407	Roserade
MONSNAME_408	Cranidos
MONSNAME_409	Rampardos
MONSNAME_410	Shieldon
MONSNAME_411	Bastiodon
MONSNAME_412	Burmy
MONSNAME_413	Wormadam
MONSNAME_414	Mothim
MONSNAME_415	Combee
MONSNAME_416	Vespiquen
MONSNAME_417	Pachirisu
MONSNAME_418	Buizel
MONSNAME_419	Floatzel
MONSNAME_420	Cherubi
MONSNAME_421	Cherrim
MONSNAME_422	Shellos
MONSNAME_423	Gastrodon
MONSNAME_424	Ambipom
MONSNAME_425	Drifloon
MONSNAME_426	Drifblim
MONSNAME_427	Buneary
MONSNAME_428	Lopunny
MONSNAME_429	Mismagius
MONSNAME_430	Honchkrow
MONSNAME_431	Glameow
MONSNAME_432	Purugly
MONSNAME_433	Chingling
MONSNAME_434	Stunky
MONSNAME_435	Skuntank
MONSNAME_436	Bronzor
MONSNAME_437	Bronzong
MONSNAME_438	Bonsly
MONSNAME_439	Mime Jr.
MONSNAME_440	Happiny
MONSNAME_441	Chatot
MONSNAME_442	Spiritomb
MONSNAME_443	Gible
MONSNAME_444	Gabite
MONSNAME_445	Garchomp
MONSNAME_446	Munchlax
MONSNAME_447	Riolu
MONSNAME_448	Lucario
MONSNAME_449	Hippopotas
MONSNAME_450	Hippowdon
MONSNAME_451	Skorupi
MONSNAME_452	Drapion
MONSNAME_453	Croagunk
MONSNAME_454	Toxicroak
MONSNAME_455	Carnivine
MONSNAME_456	Finneon
MONSNAME_457	Lumineon
MONSNAME_458	Mantyke
MONSNAME_459	Snover
MONSNAME_460	Abomasnow
MONSNAME_461	Weavile
MONSNAME_462	Magnezone
MONSNAME_463	Lickilicky
MONSNAME_464	Rhyperior
MONSNAME_465	Tangrowth
MONSNAME_466	Electivire
MONSNAME_467	Magmortar
MONSNAME_468	Togekiss
MONSNAME_469	Yanmega
MONSNAME_470	Leafeon
MONSNAME_471	Glaceon
MONSNAME_472	Gliscor
MONSNAME_473	Mamoswine
MONSNAME_474	Porygon-Z
MONSNAME_475	Gallade
MONSNAME_476	Probopass
MONSNAME_477	Dusknoir
MONSNAME_478	Froslass
MONSNAME_479	Rotom
MONSNAME_480	Uxie
MONSNAME_481	Mesprit
MONSNAME_482	Azelf
MONSNAME_483	Dialga
MONSNAME_484	Palkia
MONSNAME_485	Heatran
MONSNAME_486	Regigigas
MONSNAME_487	Giratina
MONSNAME_488	Cresselia
MONSNAME_489	Phione
MONSNAME_490	Manaphy
MONSNAME_491	Darkrai
MONSNAME_492	Shaymin
MONSNAME_493	Arceus
MONSNAME_494	Victini
MONSNAME_495	Snivy
MONSNAME_496	Servine
MONSNAME_497	Serperior
MONSNAME_498	Tepig
MONSNAME_499	Pignite
MONSNAME_500	Emboar
MONSNAME_501	Oshawott
MONSNAME_502	Dewott
MONSNAME_503	Samurott
MONSNAME_504	Patrat
MONSNAME_505	Watchog
MONSNAME_506	Lillipup
MONSNAME_507	Herdier
MONSNAME_508	Stoutland
MONSNAME_509	Purrloin
MONSNAME_510	Liepard
MONSNAME_511	Pansage
MONSNAME_512	Simisage
MONSNAME_513	Pansear
MONSNAME_514	Simisear
MONSNAME_515	Panpour
MONSNAME_516	Simipour
MONSNAME_517	Munna
MONSNAME_518	Musharna
MONSNAME_519	Pidove
MONSNAME_520	Tranquill
MONSNAME_521	Unfezant
MONSNAME_522	Blitzle
MONSNAME_523	Zebstrika
MONSNAME_524	Roggenrola
MONSNAME_525	Boldore
MONSNAME_526	Gigalith
MONSNAME_527	Woobat
MONSNAME_528	Swoobat
MONSNAME_529	Drilbur
MONSNAME_530	Excadrill
MONSNAME_531	Audino
MONSNAME_532	Timburr
MONSNAME_533	Gurdurr
MONSNAME_534	Conkeldurr
MONSNAME_535	Tympole
